pid,duration
1,36
2,85
3,9
4,27
5,86
6,54
7,19
8,26
9,59
10,17
11,46
12,72
13,74
14,30
15,40
16,10
17,44
18,5
19,96
20,1
21,61
22,94
23,27
24,19
25,86
26,29
27,39
28,44
29,7
30,74
31,3
32,14
33,29
34,60
35,56
36,2
37,2
38,57
39,68
40,40
41,92
42,87
43,99
44,50
45,92
46,22
47,16
48,19
49,79
50,17
51,40
52,59
53,46
54,5
55,29
56,83
57,60
58,9
59,94
60,56
61,54
62,94
63,15
64,81
65,56
66,97
67,21
68,57
69,93
70,33
71,13
72,96
73,40
74,95
75,87
76,97
77,65
78,41
79,61
80,8
81,52
82,34
83,36
84,7
85,13
86,60
87,97
88,54
89,88
90,27
91,97
92,7
93,78
94,57
95,64
96,20
97,58
98,15
99,32
100,69
101,20
102,19
103,18
104,59
105,57
106,59
107,33
108,92
109,47
110,47
111,77
112,32
113,94
114,5
115,82
116,57
117,52
118,83
119,100
120,96
121,35
122,26
123,16
124,62
125,28
126,1
127,12
128,1
129,96
130,88
131,16
132,77
133,76
134,71
135,66
136,12
137,67
138,93
139,100
140,43
141,24
142,88
143,37
144,99
145,61
146,5
147,97
148,87
149,75
150,67
151,87
152,81
153,51
154,94
155,97
156,16
157,82
158,98
159,31
160,25
161,42
162,70
163,9
164,20
165,52
166,10
167,29
168,33
169,20
170,4
171,64
172,6
173,14
174,76
175,65
176,75
177,86
178,51
179,64
180,75
181,66
182,15
183,69
184,20
185,50
186,86
187,6
188,64
189,43
190,96
191,82
192,43
193,73
194,46
195,33
196,11
197,13
198,86
199,94
200,10
201,47
202,11
203,2
204,88
205,93
206,9
207,16
208,92
209,17
210,40
211,97
212,15
213,84
214,14
215,59
216,13
217,17
218,66
219,62
220,38
221,49
222,15
223,83
224,10
225,72
226,15
227,90
228,78
229,100
230,64
231,100
232,98
233,42
234,79
235,10
236,30
237,47
238,3
239,51
240,77
241,89
242,72
243,8
244,31
245,58
246,44
247,69
248,40
249,69
250,21
251,47
252,40
253,55
254,88
255,26
256,96
257,59
258,29
259,80
260,76
261,55
262,83
263,84
264,39
265,79
266,45
267,6
268,55
269,93
270,43
271,68
272,43
273,6
274,6
275,14
276,91
277,49
278,25
279,64
280,75
281,48
282,70
283,69
284,35
285,65
286,64
287,67
288,30
289,87
290,57
291,36
292,77
293,88
294,72
295,25
296,72
297,33
298,6
299,78
300,61
301,48
302,17
303,88
304,76
305,42
306,99
307,17
308,3
309,21
310,53
311,57
312,44
313,53
314,84
315,57
316,100
317,44
318,4
319,45
320,75
321,90
322,76
323,80
324,74
325,25
326,78
327,44
328,78
329,60
330,75
331,23
332,42
333,96
334,19
335,65
336,87
337,72
338,31
339,85
340,82
341,24
342,59
343,67
344,7
345,63
346,25
347,68
348,17
349,13
350,90
351,58
352,99
353,84
354,70
355,42
356,57
357,7
358,91
359,70
360,16
361,91
362,59
363,58
364,27
365,29
366,20
367,36
368,40
369,16
370,42
371,22
372,77
373,50
374,51
375,55
376,62
377,1
378,97
379,76
380,13
381,69
382,85
383,84
384,79
385,92
386,98
387,25
388,82
389,88
390,28
391,58
392,76
393,62
394,11
395,52
396,31
397,54
398,55
399,75
400,16
401,46
402,3
403,77
404,22
405,69
406,21
407,2
408,12
409,67
410,17
411,99
412,49
413,72
414,96
415,1
416,17
417,11
418,21
419,52
420,49
421,50
422,5
423,37
424,75
425,69
426,57
427,30
428,53
429,28
430,68
431,73
432,32
433,14
434,25
435,24
436,94
437,66
438,79
439,45
440,96
441,60
442,42
443,23
444,8
445,79
446,61
447,81
448,87
449,63
450,68
451,33
452,33
453,20
454,58
455,57
456,94
457,39
458,82
459,45
460,93
461,28
462,60
463,91
464,52
465,3
466,74
467,45
468,34
469,35
470,48
471,56
472,25
473,96
474,12
475,41
476,77
477,85
478,24
479,16
480,42
481,53
482,36
483,21
484,97
485,85
486,89
487,18
488,83
489,34
490,15
491,4
492,60
493,77
494,29
495,94
496,58
497,30
498,44
499,79
500,42
